#,Tracker,Status,Priority,Subject,Assignee,Updated,Description,Last notes
20021,??????,?????,???????,"?? ?????????? ????????????? ???????? ? ??????? ""???????"" ",Natali Rudich,03/01/2023 07:12 PM,"*???? ???????????????* :
""1) ??????? ?? ???? """"https://www.ctrs.com.ua/ru/news""""
2)????? ? ?????? ??????? 
3) ?????????? ??????? ?? ???????? ?37""

https://gyazo.com/d53a78d188b9395a47bb9fd88962a983

*????????? ?????????* : ??????? ???????? ???????? ? ??????? ????????
*??????????? ?????????* : ?? ?????????? ????????????? ???????? ? ??????? ???????",""
20020,??????,?????,??????????,??? ?????? ????? ? UA ??????????? ??? ????????? ?????? ?? UA ?????????? ????? ?? ?????????? ????? ?????????????? ??? ? ???????,Anastasiya Lopatovskaya,03/01/2023 04:41 PM,"???? ??????????????? :
1) ??????? ???? https://www.ctrs.com.ua/
2) ? ???????? ???????? ?????? ""Apple""
3) ???????? ????????? ""Iphone 14 Pro""
4) ???????? ????? Apple iPhone 14 Pro 128GB Gold (MQ083)
5) ????????? ??????? ""??????""
6) ???????? ?????? ""???????? ?????""
7) ????????? ????? ?? ?????????? ?????

https://gyazo.com/713426b0323db1e7f17876de531df954

*????????? ?????????* : ??? ?????? ????? ? UA ??????????? ????? ?????????? ?? ?????????? ?? ?????? ?????????????? ??? ????? ? ???????
*??????????? ?????????*  : ??? ?????? ????? ? UA ??????????? ??? ????????? ?????? ?? UA ?????????? ????? ?? ?????????? ????? ?????????????? ??? ? ???????


",""
20019,??????,?????,??????????,??? ??????????? ???????? ????? ? ?????? ,Anastasiya Lopatovskaya,03/01/2023 04:31 PM,"???? ??????????????? :
1) ??????? ???? https://www.ctrs.com.ua/
2) ? ???????? ???????? ?????? ""Apple""
3) ???????? ????????? ""Iphone 14 Pro""
4) ???????? ????? Apple iPhone 14 Pro 128GB Gold (MQ083)
5) ????????? ??????? ""??????""
6) ???????? ?????? ""???????? ?????""
7) ????????? ?????

https://gyazo.com/8b426d5ffe634fb27788e1db3e34f074

*????????? ?????????* : ??? ?????????? ??????? ""???????? ?????"" ????? ??????????? ???????????? ?????
*??????????? ?????????* : ??? ?????????? ??????? ""???????? ?????"" ??? ??????????? ???????????? ?????
",""
20018,??????,?????,??????????,"?????? ?? ?? ???????????? ?????? ??? ??????? ?????? ""???????? ?????????""",Anastasiya Lopatovskaya,03/01/2023 04:15 PM,"???? ??????????????? :
1) ??????? ???? https://www.ctrs.com.ua/
2) ? ?????? ??????? ?????? ""????????""
3) ? ?????????? ???? ???????? ""?????? ?????????""
4) ???????? ?? ?????? ""???????? ?????????""

https://gyazo.com/56d6763aaf3350d817322e6f52ee8a69

*????????? ?????????*  : ??? ??????? ?? ?????? ""???????? ?????????"" ??????? ?? ????????????-???????? ?????? ? ?????? ??? ?????????? ??????
*??????????? ?????????*  : ??? ??????? ?? ?????? ""???????? ?????????"" ??????? ?? ?? ???????????? ????????",""
19961,??????,?????,??????,"?? ??????? ?????? ""?????? ??????"" ? ??????? ""??? ????????"" ? ??????",Nina Draganova,02/28/2023 05:33 PM,"*???? ???????????????:*

1 ??????? ????
2 ????? ? ?????? ""??? ????????"" ? ?????? ? ??????? ?????
3 ?????? ?? ?????? ""?????? ??????""
https://gyazo.com/4cb01d22c747629ea18fe2d5a2282072

*????????? ?????????:* ???????? ?????? ""?????? ??????"" ? ??????? ""??? ????????"" ? ??????
*??????????? ????????? :* ?? ??????? ?????? ""?????? ??????"" ? ??????? ""??? ????????"" ? ??????",""
19960,??????,?????,??????????,"?????????? ????????? ? ?????? ""???????"" ? ??????? ?????? ""???????"" ? ?????? ? ??????? ????? ??? ?????????? ????? ""???? ?? ???""",Nina Draganova,02/28/2023 05:25 PM,"*???? ???????????????:*
1 ??????? ???? https://www.ctrs.com.ua/
2 ????? ? ?????? ?????? ""???????"" ? ?????? ? ??????? ?????
3 ??? ???????? ? ?????? ??????? ""???? ?? ???""
https://gyazo.com/b5e3b0f1a6322c1f72e1ae99e5444abc

*????????? ?????????:* ??????????? ????????? ? ?????? ""???????"" ? ??????? ?????? ""???????"" ? ?????? ? ??????? ????? ??? ?????????? ????? ""???? ?? ???""
*??????????? ?????????:* ?????????? ????????? ? ?????? ""???????"" ? ??????? ?????? ""???????"" ? ?????? ? ??????? ????? ??? ?????????? ????? ""???? ?? ???""",""
19959,??????,?????,??????????,"?????????? ????????? ? ?????? ""???????"" ? ??????? ??????  ""???????"" ? ?????? ? ??????? ????? ??? ?????????? ????? ""???? ?? ???""",Nina Draganova,02/28/2023 05:15 PM,"*???? ???????????????:*

1 ??????? ???? https://www.ctrs.com.ua/
2 ????? ? ?????? ?????? ""???????"" ? ?????? ? ??????? ?????
3 ??? ???????? ? ?????? ??????? ""???? ?? ???""
https://gyazo.com/b5e3b0f1a6322c1f72e1ae99e5444abc

*????????? ?????????:* ??????????? ????????? ? ?????? ""???????"" ? ??????? ??????  ""???????"" ? ?????? ? ??????? ????? ??? ?????????? ????? ""???? ?? ???""
*??????????? ????????? :* ?????????? ????????? ? ?????? ""???????"" ? ??????? ??????  ""???????"" ? ?????? ? ??????? ????? ??? ?????????? ????? ""???? ?? ???""",""
19958,??????,?????,??????????,"?????????? ????????? ? ?????? ""???????"" ? ??????? ""?????? ","",02/28/2023 05:02 PM,"",""
19950,??????,?????,??????????,"?????? ""????????"",""???????? ????"" ??? ????? ?? ?????? ?? ???????? ???????? ???????????? ???????.",Oleksandr Lyshenko,02/28/2023 12:39 AM,"*???? ???????????????:*
*1)* ??????? ??????? ???????? ????? https://www.ctrs.com.ua/
*2)* ?????????? ? ????? ??????? ????????
*3)* ? ??????? ""??????"" ??????? ?? ?????? ""???????""
*4)* ? ?????? ??????????? ???????? https://career.ctrs.com.ua/ ??????? ?? ?????? ""??????? ? ???????""
*5)* ? ??????????? ???????? https://career.ctrs.com.ua/karyera-v-citrusi/# ? ??????? ""??????????? ??????? ? ???????"" ??????? ?? ?????? ""????????"",""???????? ????""

https://gyazo.com/355ec807d2889fca82842e1021dd76ce

*????????? ?????????:* ?????? ""????????"",""???????? ????"" ??? ????? ?? ??????  ???????? ???????? ???????????? ???????.
*??????????? ?????????:* ?????? ""????????"",""???????? ????"" ? ??????? ""???????? ????"" ??? ????? ?? ?????? ?? ???????? ???????? ???????????? ???????.",""
19933,??????,?????,??????????,? ?????? ?????? ???????? *??????* ?????????,"",02/27/2023 10:50 AM,"1)??????? ????
2)? ?????? ??????? ?? *??????*
3)? ?????? ?????? ??????? *??????*

https://prnt.sc/sYbOI9M29AI8

????????? ?????????:??????? ?? ??????? ????????
??????????? ?????????:?????? ?? ???????",""
19931,??????,?????,??????????,??? ??????????? ????? ????? ????? ?????? ?????????????? ????? ???????? ? ???????????? ?????,"",02/27/2023 10:31 AM,"1)??????? ????
2)?????????????????? ????? ?????

https://prnt.sc/6uCefZC0If6P

????????? ?????????:?????????? ???? ?????
??????????? ?????????:???????????? ??????????? ??????",""
19917,??????,?????,???????,"?? ???????????? ??????""?????? "" ? ?????? ??? ?????????? ?????? .",???????  ??????? ,02/26/2023 11:47 PM,"*???? ???????????????:* 
1) ????? ?? ???? https://www.ctrs.com.ua/ru/
2) ???????? ????? ????? ? ???????.
3) ??????? ? ?????????? ??????.
4) ?????? ?? ?????? ""??????"" ? ??????. 
5) https://gyazo.com/19c36e8c921c08d4bc97087dc3c17b13

*????????? ?????????:* ??? ??????? ?? ?????? ""??????"", ???????????? ???????????? ?? ??????? ????. 
*??????????? ?????????:* ?? ???????????? ?????? ""??????"" ? ??????,??? ?????????? ??????. 
",""
19880,??????,?????,??????????,"???????? ?????? ??? ?????? ????????? ?????? ?????? ?? ???????? ""??????????"" - ????? ??????? ??????, ??????? ?????? ???????? ???????? ?????",Maksym Shymin,02/26/2023 11:27 AM,"*???? ???????????????* :
1) ??????? ???? ""https://www.ctrs.com.ua/ ""
2) ??????? ? ????? ????????
3) ??????? ????????? ""?????????? ?? ????????""
4) ????????? ?? ???????? ?????? ""??????? ?????? ??????????""
5) ???????? ????? ????????
6) ????????? ?????? ??? ?? ???????? ??????
7) ??????????

https://gyazo.com/ef96ffa131077e3cfe4494527be82a35

????????? ?????????: ???????? ?????? ??? ?????? ????????? ?????? ?????? ?? ???????? ""??????????"" ????? ??????? ?????? ??? ?????????? ??????? ????? ?????, ?? ??? ??????? ???? ????????????
??????????? ?????????: ???????? ?????? ??? ?????? ????????? ?????? ?????? ?? ???????? ""??????????"" ????? ??????? ?????? ??????? ?????? ???????? ???????? ?????",""
19879,??????,?????,??????????,"?? ??????? ?????? ??? ??????? ?? ?????? ""???????? ?????????"" ? ????????? ""?????? ????????? ????????""",Vladislava Vishnevska,02/25/2023 10:38 PM,"*???? ???????????????:*
1) ??????? ???? ""https://www.ctrs.com.ua/ ""
2) ??????? ? ????? ????????
3)??????? ????????? ""?????? ????????? ????????""
4)??????? ? ?????? ""?????? ???""
5)???????? ?? ?????? ""???????? ?????????""

https://gyazo.com/61acf31164418d23801c502173830767

*????????? ?????????:* ???????? ?????? ??? ??????? ?? ?????? ""???????? ?????????"" ? ????????? ""?????? ????????? ????????""
*??????????? ?????????:* ?? ??????? ?????? ??? ??????? ?? ?????? ""???????? ?????????"" ? ????????? ""?????? ????????? ????????""

",""
19875,??????,?????,??????????,"?????, ?? ??????? ????? ? ?????????????, ?? ???????????.",Dubrovin Denis,02/25/2023 06:31 PM,"*???? ???????????????.*
1) ????????? ?? ???? https://www.ctrs.com.ua/ru/
2) ? ?????? ????????? ? ?????? «?????? ????????? ????????»
3) ??????? ????
https://gyazo.com/e8df66a01b465d2de1f94db7b059a42a

*????????? ?????????:*
? ??????? ""???????? ???"" ????? ?? ??????? ????? ? ????????????? ???????????

*??????????? ?????????""*
????? ?? ????????????.",""
19874,??????,?????,??????????,"? ??????, ? ???????""?????? ????????? ????????""  ?? ???????????? ?????? ""Viber""",Dubrovin Denis,02/25/2023 06:25 PM,"*???? ???????????????.*
1) ????????? ?? ???? https://www.ctrs.com.ua/ru/
2) ? ?????? ????????? ? ?????? «?????? ????????? ????????»
3) ??????? ????
https://gyazo.com/a65b486b7a6ee33ee0284bf099c1bcdb?

*????????? ?????????:*
? ??????? ""???????? ???"" ??? ?????? ????????????""

*??????????? ?????????""*
?????? ""Viber"" ?? ????????????
",""
19873,??????,?????,??????????,"? ????????? ???????, ??? ????? ?????, ?? ?????????? ? ????????? ????????, ???????????? ????????? ""?????????? ??????""",Dubrovin Denis,02/25/2023 05:50 PM,"*???? ???????????????:*
1) ????????? ?? ???? https://www.ctrs.com.ua/ru/
2) ? ????????? ?????? ?????? ?? ????????? ? ????????? ????????, ???????? «??????»
https://gyazo.com/e3ddb170bd925bdfe25428da848e7ebe

*????????? ?????????*
??? ????? ?????, ?? ?????????? ? ????????? ????????, ???????? ????????? ? ??????? ""?? ?????? ??????? ?????? ?? ???????""
*??????????? ?????????*
????????? ??????? ?????? ????????? ""?????????? ??????""",""
19822,??????,?????,??????????,"?? ??????? ?????? ""?????? ????????"" ? ""?????? ??????"" ? ??????? ""???? ???????"" ? ????????? ""??? ????????""",Vladislava Vishnevska,02/25/2023 12:04 PM,"*???? ???????????????:*
1) ??????? ???? ""https://www.ctrs.com.ua/ ""
2) ??????? ? ????? ????????
3)??????? ????????? ""??? ????????""
4)??????? ? ?????? ""???? ???????""
5)???????? ?? ?????? ""?????? ????????""
6)???????? ?? ?????? ""?????? ??????""

https://gyazo.com/08ee19fc188c588b7c954fd99b19a2bc

*????????? ?????????:* ??????? ?????? ""?????? ????????"" ? ""?????? ??????"" ? ??????? ""???? ???????"" ? ????????? ""??? ????????""
*??????????? ?????????:* ?? ??????? ?????? ""?????? ????????"" ? ""?????? ??????"" ? ??????? ""???? ???????"" ? ????????? ""??? ????????""",""
19794,??????,?????,??????????,"??? ?????????? ????? ?????? ""????? ?????"" ?? ?????????? ?????? ????? ??? ???????? ?????? ????? ??? ????????? ?????, ? ??? ?? ??????????? ????????? ???????? ?????",????????? ?????????,02/20/2023 08:32 PM,"*????*
1.????? ?? ???? https://zwebra.com.ua/
2.? ????? ???? ????????? ?? ?????? ""????????? ????"" 
3.??? ?????????? *????? ?????*, ?? ?????????? ?????? ????? ??? ????????
?????? ????? ??? ????????? ?????, ? ??? ?? ??????????? ????????? ???????? ?????


*????????? ?????????*:
?????????? ?????? ????? ??? ???????? ?????? ????? ??? ????????? ?????

*???????????  ?????????* :
?? ?????????? ?????? ????? ??? ???????? ?????? ????? ??? ????????? ?????



https://gyazo.com/d019194741ccfbbfff0deb9eff313514",""
19793,??????,?????,??????????,??? ?????????? ????? ?? ?????????? ?????? ????? ??? ???????? ???????? ???????? ?? ?????????????,????????? ?????????,02/20/2023 08:26 PM,"*????*
1.????? ?? ???? https://zwebra.com.ua/
2.? ????? ???? ????????? ?? ?????? ""????????? ????"" 
3.??? ????????? *?? ????? ???????? ????? ??????????? ????????? ???????? 
(??? ??? ??????? ???????????)?*, ?? ?????????? ?????? ????? ??? ????????
???????? ???????? ?? ?????????????


*????????? ?????????*:
?????????? ?????? ????? ??? ????????
???????? ???????? ?? ????????????? 
*???????????  ?????????* :
?? ?????????? ?????? ????? ??? ????????
???????? ???????? ?? ????????????? 

https://gyazo.com/276a00ae2875231a0b894c41a64dd355",""
19792,??????,?????,???????,??? ?????????? ????? ?? ???????????? ?????? ????? ? ?????,????????? ?????????,02/20/2023 08:18 PM,"*????*
1.????? ?? ???? https://zwebra.com.ua/
2.? ????? ???? ????????? ?? ?????? ""????????? ????"" 
3.??? ????????? *????? ?????????? ?????? ??????? ???????? ??? ??? ????????????*, 
*????? ???????? (????????????) ???? ?? ????????? ???????? ??? ??? ????????????*
 ?? ???????????? ?????? ?????

*????????? ?????????*:
???????????? ?????? ?????, ??????? ? ????? ?????????
*???????????  ?????????* :
?? ???????????? ?????? ?????,??????? ? ????? ?????????


https://gyazo.com/95245e06900adf50b41c0d1368c62e46",""
19791,??????,?????,??????????,??? ?????????? ????? ??????????? ????????? ??????????? ?????,????????? ?????????,02/20/2023 08:08 PM,"*????*
1.????? ?? ???? https://zwebra.com.ua/
2.? ????? ???? ????????? ?? ?????? ""????????? ????"" 
3.?????? ????? ??????????? ????? ??? ??????? ""@""


*????????? ?????????*:
????????????? ?????? ?????  
*???????????  ?????????* :
???????? ?????? ????? ??.????? ??? ????????????? ????. ??????? ""@""

https://gyazo.com/295a1bd7ed77eaa3df5ef0e0441f3427",""
19790,??????,?????,??????????,? ????? ??????????? ????????? ????????? ???????? ?????? ???????? ,????????? ?????????,02/20/2023 08:01 PM,"*????*
1.????? ?? ???? https://zwebra.com.ua/
2.? ????? ???? ????????? ?? ?????? ""????????? ????"" 
3.?????? ????? ???????? ? ????? ????? ????? 7 ????


*????????? ?????????*:
??????????? ????? ???????? ???????? ?????? ????????, ???????? ?????????? ???????????  
*???????????  ?????????* :
????? ?????? ????? ???????? ????? 7 ???????? ??????

https://gyazo.com/01d30f88b34b222ca9be03fae9de86d7",""
19789,??????,?????,??????????,"?? ??????????? ????????? ? ??????? ""?? ???????? ????????? ??????? ?? ??????? ??????????? ??? ?????? ???????.""",Vladislava Vishnevska,02/18/2023 11:49 AM,"*???? ???????????????:*
1) ??????? ????
2) ??????? ? ?????? ""?? ???????? ????????? ??????? ?? ??????? ??????????? ??? ?????? ???????.""

https://gyazo.com/58dffd223a78a82f5fe440c15b59890c


*????????? ?????????:* ??????????? ????????? ? ??????? ""?? ???????? ????????? ??????? ?? ??????? ??????????? ??? ?????? ???????.""
*??????????? ?????????:* ?? ??????????? ????????? ? ??????? ""?? ???????? ????????? ??????? ?? ??????? ??????????? ??? ?????? ???????.""",""
19788,??????,?????,??????,"?????????? ????????? ? ?????? ""?????????? ???????"" ? ??????? ""SMM ???????????""  ""?????? ?????? SMM ???????????""",Nina Draganova,02/18/2023 11:48 AM,"*???? ???????????????:*

1 ??????? ????
2 ????? ? ?????? ""SMM ???????????""  ""?????? ?????? SMM ???????????""
https://gyazo.com/c31a5887ffe46e47239557d2406f0346

*????????? ?????????:* ??????????? ????????? ? ?????? ""?????????? ???????"" ? ??????? ""SMM ???????????""  ""?????? ?????? SMM ???????????""
*??????????? ?????????* : ?????????? ????????? ? ?????? ""?????????? ???????"" ? ??????? ""SMM ???????????""  ""?????? ?????? SMM ???????????""",""
19787,??????,?????,??????,?????? ? ???????? ?????? ? UA ??????????? ,Sabina Vorotnikova,02/18/2023 11:48 AM,"*???? ???????????????:*
1) ??????? ??????? ???????? ????? https://zwebra.com.ua/
2) ??????? ? ??????? UA ???????????
3) ??????? ? ????? ???????
4) ????? ?????? ""????????? ????""
5) ?????????? ???????????? ????? ? ????? ""????""

https://gyazo.com/9bc8bfe1514eb2435b1af536976c84bc

*????????? ?????????:* ?????????? ???????? ?????? ? UA ???????????
*??????????? ?????????:* ???????????? ???????? ?????? ? UA ???????????",""
19786,??????,?????,??????????,"??????????? ?????????? ??????????? ? ??????? ""?????? ???"" ? ??????? ""????? ???????"" ",Natali Rudich,02/18/2023 11:45 AM,"*???? ???????????????*:
1)  ??????? ???? 
2)  ? ???????, ? ??????? "" ??????"" 
3)  ???
4) ?????????? ???????????
 
*????????? ?????????*:  ???????? ????? ??? ??????????? ?? ?????????? ????
*??????????? ?????????*: ?????? "" ????? ???????"" ??????????? ????????? ???????
",""
19785,??????,?????,??????????,"?? ???????????? ??????? ????????? ? ?????? ???????? ""? ???""",?????? ???????,02/18/2023 11:45 AM,"*???? ???????????????:*
1) ??????? ???? https://zwebra.com.ua/
2) ? ?????? ????? ??????? ?????? ""??? ??""
3) ??????? ????? ????????
4) ??????? ?? ???????????
https://gyazo.com/d7f4ec92dae74deedb8eab306f5166ea


*????????? ?????????:* ???????????? ??????? ????????? ? ?????? ???????? ""? ???""
*??????????? ?????????:* ??????????? ??????? ????????? ? ?????? ???????? ""? ???""",""
19784,??????,?????,??????????,????? ??????? ?? ?????????? ??????.??????? ????????? ?? ???????.????? ??? ???????? ????????? ???? ??????????  ?????????? ?? ??????????,Vitaliy Sudayev,02/18/2023 11:40 AM,????? ??????? ?? ?????????? ??????.??????? ????????? ?? ???????.????? ??? ???????? ????????? ???? ??????????  ?????????? ?? ??????????.?????????? ?????????????? ????????.,""
19783,??????,?????,??????????,?????????? UA ??????????? ? ?????,Sabina Vorotnikova,02/18/2023 11:39 AM,"*???? ???????????????:*
1) ??????? ??????? ???????? ????? https://zwebra.com.ua/
2) ??????? ? ??????? UA ???????????
3) ?????????? ??????? ???????? ? ?????
4) ?????? ?? ?????? ""????????? ????""
5) ? ??????????? ????????? ???? ?????? ?? ????? ??????
6) ?????????? RU ?????? ?????

https://gyazo.com/6d608bc47814c6b3cf64bdf6acf1b5d1

*????????? ?????????:* UA ??????????? ?????
*??????????? ?????????:* RU ??????????? ?????",""
19782,??????,?????,??????????,? ?????????? ?????? ????? - ? FOOTER - ?? ???????? ?????? ????????? ????????,KOSTIANTYN BLAGODARENKO,02/18/2023 11:39 AM,"*???? ???????????????:*

1 ??????? ???? ZWEBRA
2 ???????? ????????? ?????? ????????? ????????

*????????? ????????? :* ??????? ?????? ????????? ????????
*??????????? ?????????:* ????????? ?????? ????????? ??https

https://gyazo.com/2c2888aed07af430016b72665a0de561
",""
19781,??????,?????,??????????,"??????????? ????? ? ?????? ""?????????? ?????"" ?  ??????? ""?????????? ???????? ?? ?????????""",Vladislava Vishnevska,02/18/2023 11:38 AM,"*???? ???????????????:*
1) ??????? ????
2) ??????? ? ??????? ""?????????? ???????? ?? ?????????""
3)?????? ?? ?????? ""?????????? ?????""

https://gyazo.com/e93582b512bc1234d81d957fd2144c3b

*????????? ?????????:* ???????????? ????? ? ?????? ""?????????? ?????"" ?  ??????? ""?????????? ???????? ?? ?????????""
*??????????? ?????????:* ??????????? ????? ? ?????? ""?????????? ?????"" ?  ??????? ""?????????? ???????? ?? ?????????""",""
19780,??????,?????,??????????,"?????? ""SMM ???????????"" ""PPS ??????? WEB"" ""?????????????"" ? ?????? ?????? ????????, ????????? ????? ?? ??????? ???????? ????? https://zwebra.com.ua/",Oleksandr Lyshenko,02/18/2023 11:36 AM,"*???? ???????????????:*
*1)* ??????? ??????? ???????? ????? https://zwebra.com.ua/
*2)* ???????? ?????? ""SMM ???????????"", ""PPS ??????? WEB"" ,""?????????????"" ? ?????? ??????? ????????


https://gyazo.com/1cf407d463698f0f4acd5025e8be6835

*????????? ?????????:* ?????? ""SMM ???????????"" ""PPS ??????? WEB"" ""?????????????"" ????????? ? ???????????? ?????? ????? https://zwebra.com.ua/
???? https://stvol.ua/
*??????????? ?????????:* ?????? ""SMM ???????????"" ""PPS ??????? WEB"" ""?????????????"" ? ?????? ?????? ????????, ????????? ????? ?? ??????? ???????? ????? https://zwebra.com.ua/",""
19779,??????,?????,??????,"? ??????? ""????"" ? ?????? ??????????? ?????? ?? ???.? ???.?????",Nina Draganova,02/18/2023 11:36 AM,"*???? ???????????????:*

1 ??????? ????
2 ??????? ? ?????? ""????"" ? ??????
https://gyazo.com/e09de67f1a61e489e1034f184d9f8233

*????????? ?????????:* ? ??????? ""????"" ? ?????? ??????????? ?????????? ???????????
*??????????? ?????????:*  ? ??????? ""????"" ? ?????? ??????????? ?????? ?? ???.? ???.?????",""
19778,??????,?????,??????????,??????????? ??????????? ????????? ? ?????????? ?????? ?????.,Anna Prokopets,02/18/2023 11:33 AM,"*???? ???????????????:*
1) ??????? ????.
2) ??????????? ??????????? ????????? ? ?????????? ?????? ?????.

https://gyazo.com/10a7964888fd98c41d7c356cb47c3b04

*????????? ?????????:* ? ?????????? ?????? ????? ???????? ?????????? ?? ??????????????? ????.
*??????????? ?????????:* ??????????? ??????????? ????????? ? ?????????? ?????? ?????.",""
19777,??????,?????,??????,"????? ""????????"" ?? ????????? ???? ???????? "" ???? ?????????? ???????? 02.05.2022""",Natali Rudich,02/18/2023 11:32 AM,"*???? ???????????????*:
1)???????  ????  https://zwebra.com.ua/
2) ? ??????? ??????? ? ?????? ""????????"" 
3) ?????????? ?? ?????? ?? "" ??????????? ? ?????? ?????????? ??????????"" 

*????????? ?????????*:  ?????????? ???? ???????? ?? ????? ???? ???????
*??????????? ?????????*: ?????????? ???? ???????? ????? ???????? 
",""
19776,??????,?????,??????,"????????? RU ??????????? ? ?????????? ""SMM- ??????????""",Anastasiya Lopatovskaya,02/18/2023 11:32 AM,"???? ??????????????? :
1) ??????? ???? https://zwebra.com.ua/smm/
2) ???????? RU ?????? ?????
3) ?????????? ? ??????
4) ???????? ?????? ""SMM ???????????""
5) ???????? RU ?????? ?????
6) ?????????? ? ?????????? ""SMM- ??????????""

https://gyazo.com/b7290d763432ab29331eb8b15b3b2841

*????????? ?????????*  : ??????? ???? ?????? ?????????? ?? ??????? ???? ??? ?????? ????? RU ?????
*??????????? ?????????* : ????????? RU ??????????? ? ?????????? ""SMM- ??????????""",""
19775,??????,?????,??????????,"??????????? ??????????? ??????? ""L@unch box"" ? ??????? ""?????????"" ",Vladislava Vishnevska,02/18/2023 11:30 AM,"???? ???????????????:
1) ??????? ????
2) ??????? ? ?????? ""?????????""
3)???????? ?? ??????? ""L@unch box""

https://gyazo.com/b53bc73656165ed65743aaaac4f45a7c

????????? ?????????: ???????????? ??????????? ??????? ""L@unch box"" ? ??????? ""?????????"" 
??????????? ?????????: ??????????? ??????????? ??????? ""L@unch box"" ? ??????? ""?????????""",""
19774,??????,?????,??????????,????????????? ????????? ??????????? ????? ? EN,Sabina Vorotnikova,02/18/2023 11:29 AM,"*???? ???????????????:*
1) ??????? ??????? ???????? ????? https://zwebra.com.ua/
2) ??????? EN ??????????? ????? 
3) ?????????? ????????????? ???????? ???????????

https://gyazo.com/6200a6d7e40824144ebd879ebf2cc059

*????????? ?????????:*  ??????????? ???????? ??????????? ? EN ?? ??????
*??????????? ?????????:* ?????????? ???????? ??????????? ? EN ?? ??????",""
19773,??????,?????,??????,"?????? ""????????? ????"" ? ?????? ????????? ??????? ""???????? ???????? ???????""",Yuliia Novikova,02/18/2023 11:29 AM,"???? ???????????????:
1) ??????? ???? https://zwebra.com.ua/
2) ???????? ????? ?????

????????? ?????????: ?????? ""????????? ????"" ? ?????? ????????? ??????? ""???????"" (??? ? ??????)
??????????? ?????????: ?????? ""????????? ????"" ? ?????? ????????? ??????? ""???????? ???????? ???????""",""
19772,??????,?????,??????????,"?????????? ????????? ???????????????? ??????????????? ???????? ???????????? ???? ""Google ??????????""",Anna Prokopets,02/18/2023 11:27 AM,"*???? ???????????????:*
1) ??????? ????
2) ? ??????????? ???? ""Google ??????????"" ?? ??????????? ??????????? ""????????? ??????? ??? ????? ?????"" ? ""??????????"" ?????? ??????.


*????????? ?????????:* ??? ?????? ""????????? ??????? ??? ????? ?????"" ??????????? ???? ?????? ?? ??????????.
*??????????? ?????????:* ?????????? ????????? ???????????????? ??????????????? ???????? ???????????? ???? ""Google ??????????"" ",""
19771,??????,?????,??????????,??????????? ??????????? ???????????? ??????? ?????? ? ??????,Marina strakhova,02/18/2023 11:24 AM,"???? ???????????????:

1)??????? ???? 



????????? ?????????:??? ???????? ????? ??? ?????? ????????? ??????
??????????? ?????????:??? ???????? ?????,?? ????? ??????? ??????",""
19770,??????,?????,??????????,?????????? ??????????? ??????????? ?????????? ?????? ?????? ?????????? ? ?????????? ??????,KOSTIANTYN BLAGODARENKO,02/18/2023 11:24 AM,"*???? ???????????????:*

1 ??????? ???? ZWEBRA
2 ???????? ??? ??????

*????????? ????????? :* ??????? ???? ?????? ? ?????????? ???????
*??????????? ?????????:*  ?????????? ???? ?????? ? ?????????? ???????

https://gyazo.com/b7fb85eb44de80b386c125f09352ad32",""
19769,??????,?????,??????," ? ???????  ""??? ??"" ? ??????,  ?????? ?? ??????? ????? ? ?????????? ???????????",Yuliia Novikova,02/18/2023 11:23 AM,"???? ???????????????:
1) ??????? ????
2) ??????? ?? ?????? ""??? ??"" ? ??????


????????? ?????????:  ? ???????  ""??? ??"" ? ??????,  ?????? ?? ?????????? ????? ? ?????????? ???????????
??????????? ?????????:  ? ???????  ""??? ??"" ? ??????,  ?????? ?? ??????? ????? ? ?????????? ???????????",""
19768,??????,?????,??????????,"?????????? ????????? ?????? ???????? ""???????? ??????""",?????? ???????,02/18/2023 11:18 AM,"*???? ???????????????:*
1) ??????? ???? https://zwebra.com.ua
2) ? ?????? ????? ??????? ""???????? ??????""
3) ?????????? ????????? ?????? ???????? 

https://gyazo.com/59cf4e63b049edbe0dbaab8b3ed4314d

*????????? ?????????:*  ???????????? ????????? ?????? ???????? ""???????? ??????""
*??????????? ?????????:* ??????????? ????????? ?????? ???????? ""???????? ??????""",""
19767,??????,?????,??????????,"??????? ?????? 404 ? ??????? ""??????? ???????? ? ??????""",KOSTIANTYN BLAGODARENKO,02/16/2023 12:46 AM,"*???? ???????????????:*

1 ??????? ????
2 ????????? ?????? 404 ? ??????? ""??????? ???????? ? ??????"" ??? ???????? ?? ??????? ""????????"" \ ""?????????"" \ ""??? ???""

*????????? ????????? :* ?????????? ?????? 404 ? ??????? ""??????? ???????? ? ??????"" 
*??????????? ?????????:* ??????? ?????? 404 ? ??????? ""??????? ???????? ? ??????""",""
19766,??????,?????,??????????,?????????????? ?????????? ?????? (?????????? ???????) ? HEADER & FOOTER,KOSTIANTYN BLAGODARENKO,02/16/2023 12:33 AM,"*???? ???????????????:*

1 ??????? ????
2 ????????? ???????????? ?????????? ?????? (?????????? ???????) ? HEADER & FOOTER
3 ????????? ?????????? ?????? (?????????? ??????) ? HEADER & FOOTER

*????????? ????????? :* ???????????? ?????????? ?????? ? HEADER and FFOTER
*??????????? ?????????:*  ?????????????? ?????????? ?????? ? HEADER and FOOTER",""
